Rank,Title,Artist,Production
97,Polaroid,임영웅,물고기뮤직
98,POP!,나연 (TWICE),JYP Entertainment
99,Next Level,aespa,SM Entertainment
100,내 손을 잡아,아이유 (IU),더그루브엔터테인먼트
101,사랑한다고 말해줘,탑현,탑현월드
102,한 페이지가 될 수 있게,DAY6,JYP Entertainment
103,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
104,Dangerously,Charlie Puth,Artist Partners
105,Permission to Dance,방탄소년단,BIGHIT MUSIC
106,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,Stone Music Entertainment
107,Celebrity,아이유 (IU),EDAM엔터테인먼트
108,WE (Feat. 박재범) (Prod. by Slom),"이영지, 토이고 (toigo), 제이켠 (J`Kyun), 잠비노 (Jambino), XINSAYNE",Stone Music Entertainment
109,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Kakao Entertainment
110,Fuckin′ New Year,백예린,블루바이닐
111,첫눈처럼 너에게 가겠다,에일리 (Ailee),"Stone Music Entertainment, 화앤담픽쳐스"
112,고백연습,경서,꿈의엔진
113,I`m Sorry,에일리 (Ailee),Stone Music Entertainment
114,Yet To Come,방탄소년단,BIGHIT MUSIC
115,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Atlantic Records
116,SMILEY (Feat. BIBI),YENA(최예나),위에화엔터테인먼트코리아
117,희재,성시경,씨에스해피엔터테인먼트
118,문 (Moon),NCT DREAM,SM Entertainment
119,Girls,aespa,SM Entertainment
120,오르골 (Life Is Still Going On),NCT DREAM,SM Entertainment
121,The Drum,Alan Walker,MER Recordings
122,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
123,인생찬가,임영웅,물고기뮤직
124,A bientot,임영웅,물고기뮤직
125,Tangerine Love (Favorite),NCT DREAM,SM Entertainment
126,DICE,NMIXX,JYP Entertainment
127,으리으리 (Feat. 호미들),NSW yoon,Stone Music Entertainment
128,발자국 (Walk With You),NCT DREAM,SM Entertainment
129,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),넥스타엔터테인먼트
130,Cheshire,ITZY (있지),JYP Entertainment
131,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",젤리피쉬 엔터테인먼트
132,추억때문에,유림,원탑엔터테인먼트
133,손이 참 곱던 그대,임영웅,물고기뮤직
134,Hurt,NewJeans,ADOR
