Rank,Title,Artist,Production
26,Dangerously,Charlie Puth,Artist Partners
27,사랑인가 봐,멜로망스(Melomance),플렉스엠
28,Set Me Free Pt.2,지민,BIGHIT MUSIC
29,Candy,NCT DREAM,SM Entertainment
30,너의 모든 순간,성시경,SBS 콘텐츠허브
31,너를 보는게 지친 하루에,송하예,디스튜디오
32,사랑은 늘 도망가,임영웅,모스트콘텐츠
33,That`s Hilarious,Charlie Puth,Atlantic Records UK
34,Monologue,테이 (Tei),방구석 캐스팅
35,결국엔 너에게 닿아서,WSG워너비 (가야G),냠냠엔터테인먼트
36,Nxde,(여자)아이들,큐브엔터테인먼트
37,VIBE (feat. Jimin of BTS),태양,The Black Label
38,Stay,"The Kid LAROI, Justin Bieber",Columbia
39,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
40,벚꽃 엔딩,버스커 버스커 (Busker Busker),Stone Music Entertainment
41,Say I Love You,우디(Woody),메이저나인
42,Cookie,NewJeans,ADOR
43,나비무덤,포맨 (4MEN),방구석 캐스팅
44,그라데이션,10cm,매직스트로베리사운드
45,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
46,취중고백,김민석,프로젝트 리본
47,사람 Pt.2 (feat. 아이유),Agust D,BIGHIT MUSIC
48,해요 (2022),#안녕,일팔 프로젝트
49,오르트구름,윤하,C9엔터테인먼트
50,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
51,Poppy (Korean Ver.),STAYC(스테이씨),하이업엔터테인먼트
52,Shut Down,BLACKPINK,YG Entertainment
53,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",엔에이피엔터테인먼트
54,Unholy,"Sam Smith, Kim Petras",EMI
55,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
56,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
57,TOMBOY,(여자)아이들,큐브엔터테인먼트
58,내가 아니라도,주호,IN A MILLION
59,"Young, Dumb, Stupid",NMIXX,JYP Entertainment
60,on the street (with J. Cole),"j-hope,  J. Cole",BIGHIT MUSIC
61,Pink Venom,BLACKPINK,YG Entertainment
62,나의 X에게,경서,꿈의엔진
63,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
64,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
65,Expectations,"Anne-Marie, 민니 ((여자)아이들), (여자)아이들",Warner Music
66,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
67,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records
68,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
69,되돌리다,먼데이 키즈 (Monday Kiz),오늘의 선곡
70,봄날,방탄소년단,BIGHIT MUSIC
71,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC
72,딱 10CM만,"10cm, BIG Naughty (서동현)","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS"
73,우리들의 블루스,임영웅,물고기뮤직
74,사랑하지 않아서 그랬어,임한별,플렉스엠
75,그대를 알고,송하예,디스튜디오
76,Dynamite,방탄소년단,BIGHIT MUSIC
77,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
78,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
79,잘가요,주호,레이벡스
80,Sugar Rush Ride,투모로우바이투게더,BIGHIT MUSIC
81,Off My Face,Justin Bieber,RBMG/Def Jam
82,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
83,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
84,주저하는 연인들을 위해,잔나비,페포니 뮤직
85,That That (prod. & feat. SUGA of BTS),싸이 (Psy),피네이션
86,그대라는 사치,임창정,꿈의엔진
87,아모르 파티,이홍기,방구석 캐스팅
88,마지막 사랑,신예영,투플원엔터테인먼트
89,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이"
90,우연히 봄,"로꼬 (LOCO), 유주 (YUJU)",도너츠뮤직
91,밤하늘의 별을(2020),경서,꿈의엔진
92,다시 만날 수 있을까,임영웅,물고기뮤직
93,자격지심 (Feat. ZICO),BE`O (비오),"빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
94,발걸음,DK,SUMMIT
95,Butter,방탄소년단,BIGHIT MUSIC
96,혼자가 아닌 나,정효빈,레이벡스
97,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),YG Entertainment
98,희재,성시경,씨에스해피엔터테인먼트
99,"나만, 봄",볼빨간사춘기,쇼파르엔터테인먼트
100,보고싶었어,WSG워너비 (4FIRE),MBC
101,Feel My Rhythm,레드벨벳(Red Velvet),SM Entertainment
102,All Eyes On Me,지수 (JISOO),YG Entertainment
103,첫사랑,백아,Baek A
104,너와 함께,김민석,프로젝트 : 선물
105,Love story,볼빨간사춘기,쇼파르엔터테인먼트
106,Face-off,지민,BIGHIT MUSIC
107,떠나보낼 준비해 둘걸 그랬어,임한별,오늘의 선곡
108,빙글빙글 (Prod. R.Tee),헤이즈 (Heize),피네이션
109,WHEN I MOVE,카라 (KARA),RBW
110,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈
111,Cupid,FIFTY FIFTY,ATTRAKT
112,Golden Hour,마크 (MARK),SM Entertainment
113,Permission to Dance,방탄소년단,BIGHIT MUSIC
114,D N D,에이핑크(Apink),아이에스티 엔터테인먼트
115,When I Get Old,"Christopher, 청하",Parlophone Denmark
116,바보가슴,"송하예, 한빈 (포맨)",키야뮤직
117,Blueming,아이유 (IU),Kakao Entertainment
118,네가 보고 싶은 건 자연스러운 거겠지,신예영,셀러빗(CELEBIT)
119,SET ME FREE,TWICE,JYP Entertainment
120,한 페이지가 될 수 있게,DAY6,JYP Entertainment
121,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"Stone Music Entertainment, 삼화네트웍스"
122,Ai Wo Tsutaetaidatoka,aimyon,WM Japan
123,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
124,すずめ / Suzume (Feat. Toaka (토아카/十明)),RADWIMPS,제이박스엔터테인먼트
125,라일락,아이유 (IU),EDAM엔터테인먼트
126,도깨비불 (Illusion),aespa,SM Entertainment
127,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Atlantic Records
128,무지개,임영웅,물고기뮤직
129,봄이 좋냐??,10cm,매직스트로베리사운드
130,새벽에 걸려온 너의 전화는,한동근,말하는
131,내 손을 잡아,아이유 (IU),더그루브엔터테인먼트
132,아버지,임영웅,물고기뮤직
133,Alone,지민,BIGHIT MUSIC
134,드라마,아이유 (IU),EDAM엔터테인먼트
135,I`m Not The Only One,Sam Smith,Capitol Records
136,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
137,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),H1GHR MUSIC
138,신호등,이무진,쇼플레이
139,Loving You Girl (Feat. Hkeem),Peder Elias,Columbia
140,Rising,tripleS (트리플에스),모드하우스
141,Kill Bill,SZA,Top Dawg Entertainment/RCA Records
142,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
143,The Drum,Alan Walker,MER Recordings
144,Made You Look,Meghan Trainor,Epic
145,Lemon,Kenshi Yonezu,Sony Music
146,Rover,카이 (KAI),SM Entertainment
147,2002,Anne-Marie,Atlantic Records UK
148,Next Level,aespa,SM Entertainment
149,예뻤어,DAY6,JYP Entertainment
150,Eyes Closed,Ed Sheeran,Atlantic Records UK
151,Flowers,Miley Cyrus,Columbia
152,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc"
153,인생찬가,임영웅,물고기뮤직
154,strawberry moon,아이유 (IU),EDAM엔터테인먼트
155,사랑의 인사,김연지,SUMMIT
156,"10,000 Hours","Dan + Shay, Justin Bieber",Warner Music
157,A bientot,임영웅,물고기뮤직
158,One Call Away,Charlie Puth,Artist Partners
159,Celebrity,아이유 (IU),EDAM엔터테인먼트
160,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
161,Fall In Love Alone,Stacey Ryan,Stacey Ryan
162,눈이 오잖아 (Feat.헤이즈),이무진,쇼플레이
163,INVU,태연 (TAEYEON),SM Entertainment
164,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),Stone Music Entertainment
165,Every Second,Mina Okabe,Universal Music
166,스티커 사진,21학번,제나두 엔터테인먼트
167,우린 그렇게 사랑해서,"강민경, 잔나비","WAKEONE, 페포니뮤직"
168,"Jumper (Feat. 개코, MINO)",코드 쿤스트 (CODE KUNST),AOMG
169,손이 참 곱던 그대,임영웅,물고기뮤직
170,사랑해 진짜,임영웅,물고기뮤직
171,FOREVER 1,소녀시대,SM Entertainment
172,Polaroid Love,ENHYPEN,빌리프랩
173,Say My Name,Say Yes!,Stone Music Entertainment
174,SMILEY (Feat. BIBI),YENA(최예나),위에화엔터테인먼트코리아
175,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
176,Bad,Christopher,Parlophone Denmark
177,보금자리,임영웅,물고기뮤직
178,그대가 내 안에 박혔다(그내박),순순희(기태),"비에스(BS), 제나두엔터테인먼트"
179,연애편지,임영웅,물고기뮤직
180,GANADARA (Feat. 아이유),박재범,MORE VISION
181,어른,Sondia,Stone Music Entertainment
182,KICK BACK,Kenshi Yonezu,Sony Music Labels Inc.
183,Attention,Charlie Puth,Artist Partners
184,Shape of You,Ed Sheeran,Atlantic Records UK
185,GGBB,마마무+,RBW
186,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),H1GHR MUSIC
187,BETELGEUSE,Yuuri,Sony Music Labels Inc.
188,고백,멜로망스(Melomance),"카카오엔터테인먼트, 민트페이퍼, 광합성"
189,혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON),롱플레이뮤직
190,Hurt,NewJeans,ADOR
191,니 번호가 뜨는 일,이예준,오늘의 선곡
192,Love Blossom (러브블러썸),케이윌 (K.Will),스타쉽엔터테인먼트
193,봄봄봄,로이킴,Stone Music Entertainment
194,POP!,나연 (TWICE),JYP Entertainment
195,다시 사랑한다면 (니글니글 버터플라이),김필,MBC
196,Blue Flame,LE SSERAFIM (르세라핌),쏘스뮤직
197,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트
198,Weekend,태연 (TAEYEON),SM Entertainment
199,거리에서,성시경,제로원인터랙티브
200,풍등,이찬원,Chorokbaem E&M
1,Kitsch,IVE (아이브),스타쉽엔터테인먼트
2,I AM,IVE (아이브),스타쉽엔터테인먼트
3,꽃,지수 (JISOO),YG Entertainment
4,Ditto,NewJeans,ADOR
5,Hype boy,NewJeans,ADOR
6,OMG,NewJeans,ADOR
7,Teddy Bear,STAYC(스테이씨),하이업엔터테인먼트
8,사건의 지평선,윤하,C9엔터테인먼트
9,London Boy,임영웅,물고기뮤직
10,Polaroid,임영웅,물고기뮤직
11,Like Crazy,지민,BIGHIT MUSIC
12,Love Me Like This,NMIXX,JYP Entertainment
13,CHRISTIAN,Zior Park,Beautiful Noise
14,사람 Pt.2 (feat. 아이유),Agust D,BIGHIT MUSIC
15,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),플레디스
16,Attention,NewJeans,ADOR
17,심(心),DK,방구석 캐스팅
18,After LIKE,IVE (아이브),스타쉽엔터테인먼트
19,밤이 무서워요 (Lonely Night),주주 시크릿,MBC
20,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
21,Zero,NewJeans,ADOR
22,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
23,NIGHT DANCER,imase,Universal Music
24,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
25,Nostalgia,우디(Woody),+기억 프로젝트
26,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,GLG
27,Dangerously,Charlie Puth,Artist Partners
28,사랑인가 봐,멜로망스(Melomance),플렉스엠
29,너를 보는게 지친 하루에,송하예,디스튜디오
30,사랑하기 싫어,지아 (Zia),니즈뮤직
31,너의 모든 순간,성시경,SBS 콘텐츠허브
32,Cupid,FIFTY FIFTY,ATTRAKT
33,Candy,NCT DREAM,SM Entertainment
34,사랑은 늘 도망가,임영웅,모스트콘텐츠
35,Set Me Free Pt.2,지민,BIGHIT MUSIC
36,That`s Hilarious,Charlie Puth,Atlantic Records UK
37,Monologue,테이 (Tei),방구석 캐스팅
38,Nxde,(여자)아이들,큐브엔터테인먼트
39,Stay,"The Kid LAROI, Justin Bieber",Columbia
40,결국엔 너에게 닿아서,WSG워너비 (가야G),냠냠엔터테인먼트
41,Say I Love You,우디(Woody),메이저나인
42,VIBE (feat. Jimin of BTS),태양,The Black Label
43,취중고백,김민석,프로젝트 리본
44,그라데이션,10cm,매직스트로베리사운드
45,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
46,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
47,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
48,오르트구름,윤하,C9엔터테인먼트
49,해요 (2022),#안녕,일팔 프로젝트
50,"Young, Dumb, Stupid",NMIXX,JYP Entertainment
51,Cookie,NewJeans,ADOR
52,Shut Down,BLACKPINK,YG Entertainment
53,Poppy (Korean Ver.),STAYC(스테이씨),하이업엔터테인먼트
54,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
55,내가 아니라도,주호,IN A MILLION
56,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
57,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
58,Say My Name,Say Yes!,Stone Music Entertainment
59,TOMBOY,(여자)아이들,큐브엔터테인먼트
60,Unholy,"Sam Smith, Kim Petras",EMI
61,Blue Blood,IVE (아이브),스타쉽엔터테인먼트
62,나비무덤,포맨 (4MEN),방구석 캐스팅
63,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records
64,Pink Venom,BLACKPINK,YG Entertainment
65,나의 X에게,경서,꿈의엔진
66,되돌리다,먼데이 키즈 (Monday Kiz),오늘의 선곡
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
68,사랑하지 않아서 그랬어,임한별,플렉스엠
69,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC
70,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",엔에이피엔터테인먼트
71,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
72,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
73,on the street (with J. Cole),"j-hope,  J. Cole",BIGHIT MUSIC
74,봄날,방탄소년단,BIGHIT MUSIC
75,우리들의 블루스,임영웅,물고기뮤직
76,발걸음,DK,SUMMIT
77,딱 10CM만,"10cm, BIG Naughty (서동현)","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS"
78,Dynamite,방탄소년단,BIGHIT MUSIC
79,가질 수 없는 너,#안녕,방구석 캐스팅
80,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
81,그대를 알고,송하예,디스튜디오
82,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
83,그중에 그대를 만나,김호중,캔버스뮤직
84,잘가요,주호,레이벡스
85,Off My Face,Justin Bieber,RBMG/Def Jam
86,Expectations,"Anne-Marie, 민니 ((여자)아이들), (여자)아이들",Warner Music
87,빙글빙글 (Prod. R.Tee),헤이즈 (Heize),피네이션
88,당신을 만나,"김호중, 송가인",방구석 캐스팅
89,벚꽃 엔딩,버스커 버스커 (Busker Busker),Stone Music Entertainment
90,주저하는 연인들을 위해,잔나비,페포니 뮤직
91,Sugar Rush Ride,투모로우바이투게더,BIGHIT MUSIC
92,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이"
93,Lips,IVE (아이브),스타쉽엔터테인먼트
94,다시 만날 수 있을까,임영웅,물고기뮤직
95,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
96,Butter,방탄소년단,BIGHIT MUSIC
97,나의 목소리로,김호중,생각엔터테인먼트
98,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
99,밤하늘의 별을(2020),경서,꿈의엔진
100,희재,성시경,씨에스해피엔터테인먼트
101,아모르 파티,이홍기,방구석 캐스팅
102,자격지심 (Feat. ZICO),BE`O (비오),"빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
103,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),YG Entertainment
104,마지막 사랑,신예영,투플원엔터테인먼트
105,Ai Wo Tsutaetaidatoka,aimyon,WM Japan
106,That That (prod. & feat. SUGA of BTS),싸이 (Psy),피네이션
107,첫사랑,백아,Baek A
108,When I Get Old,"Christopher, 청하",Parlophone Denmark
109,보고싶었어,WSG워너비 (4FIRE),MBC
110,NOT YOUR GIRL,IVE (아이브),스타쉽엔터테인먼트
111,D N D,에이핑크(Apink),아이에스티 엔터테인먼트
112,Feel My Rhythm,레드벨벳(Red Velvet),SM Entertainment
113,Permission to Dance,방탄소년단,BIGHIT MUSIC
114,Golden Hour,마크 (MARK),SM Entertainment
115,떠나보낼 준비해 둘걸 그랬어,임한별,오늘의 선곡
116,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈
117,Love story,볼빨간사춘기,쇼파르엔터테인먼트
118,한 페이지가 될 수 있게,DAY6,JYP Entertainment
119,우연히 봄,"로꼬 (LOCO), 유주 (YUJU)",도너츠뮤직
120,그대라는 사치,임창정,꿈의엔진
121,WHEN I MOVE,카라 (KARA),RBW
122,Mine,IVE (아이브),스타쉽엔터테인먼트
123,무지개,임영웅,물고기뮤직
124,혼자가 아닌 나,정효빈,레이벡스
125,Heroine,IVE (아이브),스타쉽엔터테인먼트
126,도깨비불 (Illusion),aespa,SM Entertainment
127,섬찟 (Hypnosis),IVE (아이브),스타쉽엔터테인먼트
128,Blueming,아이유 (IU),Kakao Entertainment
129,Cupid (Twin Ver.),FIFTY FIFTY,ATTRAKT
130,다시 사랑한다면,한동근,프로젝트 리본
131,아버지,임영웅,물고기뮤직
132,너와 함께,김민석,프로젝트 : 선물
133,가장 아름다운 시간이었다,주호,레이벡스
134,네가 보고 싶은 건 자연스러운 거겠지,신예영,셀러빗(CELEBIT)
135,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Atlantic Records
136,바보가슴,"송하예, 한빈 (포맨)",키야뮤직
137,I`m Not The Only One,Sam Smith,Capitol Records
138,드라마,아이유 (IU),EDAM엔터테인먼트
139,라일락,아이유 (IU),EDAM엔터테인먼트
140,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
141,すずめ / Suzume (Feat. Toaka (토아카/十明)),RADWIMPS,제이박스엔터테인먼트
142,All Eyes On Me,지수 (JISOO),YG Entertainment
143,Loving You Girl (Feat. Hkeem),Peder Elias,Columbia
144,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
145,새벽에 걸려온 너의 전화는,한동근,말하는
146,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),H1GHR MUSIC
147,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"Stone Music Entertainment, 삼화네트웍스"
148,2002,Anne-Marie,Atlantic Records UK
149,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
150,신호등,이무진,쇼플레이
151,"나만, 봄",볼빨간사춘기,쇼파르엔터테인먼트
152,궁금해 (Next Page),IVE (아이브),스타쉽엔터테인먼트
153,Shine With Me,IVE (아이브),스타쉽엔터테인먼트
154,Cherish,IVE (아이브),스타쉽엔터테인먼트
155,SET ME FREE,TWICE,JYP Entertainment
156,Next Level,aespa,SM Entertainment
157,The Drum,Alan Walker,MER Recordings
158,Kill Bill,SZA,Top Dawg Entertainment/RCA Records
159,Lemon,Kenshi Yonezu,Sony Music
160,인생찬가,임영웅,물고기뮤직
161,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc"
162,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
163,다시 사랑한다면 (니글니글 버터플라이),김필,MBC
164,예뻤어,DAY6,JYP Entertainment
165,Made You Look,Meghan Trainor,Epic
166,Eyes Closed,Ed Sheeran,Atlantic Records UK
167,A bientot,임영웅,물고기뮤직
168,내 손을 잡아,아이유 (IU),더그루브엔터테인먼트
169,Flowers,Miley Cyrus,Columbia
170,strawberry moon,아이유 (IU),EDAM엔터테인먼트
171,One Call Away,Charlie Puth,Artist Partners
172,"10,000 Hours","Dan + Shay, Justin Bieber",Warner Music
173,Celebrity,아이유 (IU),EDAM엔터테인먼트
174,빛이 나는 너에게,던 (DAWN),AT AREA
175,Rising,tripleS (트리플에스),모드하우스
176,INVU,태연 (TAEYEON),SM Entertainment
177,Bad,Christopher,Parlophone Denmark
178,손이 참 곱던 그대,임영웅,물고기뮤직
179,Over Me,Overdose,Stone Music Entertainment
180,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
181,Every Second,Mina Okabe,Universal Music
182,사랑해 진짜,임영웅,물고기뮤직
183,눈이 오잖아 (Feat.헤이즈),이무진,쇼플레이
184,스티커 사진,21학번,제나두 엔터테인먼트
185,"En Garde (준비,시작!)",En Butter,Stone Music Entertainment
186,어른,Sondia,Stone Music Entertainment
187,보금자리,임영웅,물고기뮤직
188,연애편지,임영웅,물고기뮤직
189,눈을 감고 귀를 막아도,"백지영, 길구봉구",트라이어스
190,Shape of You,Ed Sheeran,Atlantic Records UK
191,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),H1GHR MUSIC
192,Fall In Love Alone,Stacey Ryan,Stacey Ryan
193,SMILEY (Feat. BIBI),YENA(최예나),위에화엔터테인먼트코리아
194,우린 그렇게 사랑해서,"강민경, 잔나비","WAKEONE, 페포니뮤직"
195,FOREVER 1,소녀시대,SM Entertainment
196,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트
197,Face-off,지민,BIGHIT MUSIC
198,풍등,이찬원,Chorokbaem E&M
199,GANADARA (Feat. 아이유),박재범,MORE VISION
200,Attention,Charlie Puth,Artist Partners
1,I AM,IVE (아이브),스타쉽엔터테인먼트
2,Kitsch,IVE (아이브),스타쉽엔터테인먼트
3,꽃,지수 (JISOO),YG Entertainment
4,Perfume,NCT 도재정,SM Entertainment
5,Ditto,NewJeans,ADOR
6,Hype boy,NewJeans,ADOR
7,OMG,NewJeans,ADOR
8,Teddy Bear,STAYC(스테이씨),하이업엔터테인먼트
9,사건의 지평선,윤하,C9엔터테인먼트
10,CHRISTIAN,Zior Park,Beautiful Noise
11,Love Me Like This,NMIXX,JYP Entertainment
12,London Boy,임영웅,물고기뮤직
13,Polaroid,임영웅,물고기뮤직
14,Like Crazy,지민,BIGHIT MUSIC
15,사람 Pt.2 (feat. 아이유),Agust D,BIGHIT MUSIC
16,FRIEND THE END,볼빨간사춘기,쇼파르엔터테인먼트
17,Cupid,FIFTY FIFTY,ATTRAKT
18,After LIKE,IVE (아이브),스타쉽엔터테인먼트
19,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),플레디스
20,Attention,NewJeans,ADOR
21,심(心),DK,방구석 캐스팅
22,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
23,밤이 무서워요 (Lonely Night),주주 시크릿,MBC
24,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
25,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
26,NIGHT DANCER,imase,Universal Music
27,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,GLG
28,Zero,NewJeans,ADOR
29,Dangerously,Charlie Puth,Artist Partners
30,사랑인가 봐,멜로망스(Melomance),플렉스엠
31,Nostalgia,우디(Woody),+기억 프로젝트
32,너의 모든 순간,성시경,SBS 콘텐츠허브
33,사랑은 늘 도망가,임영웅,모스트콘텐츠
34,사랑하기 싫어,지아 (Zia),니즈뮤직
35,Candy,NCT DREAM,SM Entertainment
36,Chase Love Hard (Feat. 황민현),볼빨간사춘기,쇼파르엔터테인먼트
37,That`s Hilarious,Charlie Puth,Atlantic Records UK
38,Monologue,테이 (Tei),방구석 캐스팅
39,Stay,"The Kid LAROI, Justin Bieber",Columbia
40,빛이 나는 너에게,던 (DAWN),AT AREA
41,사랑하지 않아서 그랬어,임한별,플렉스엠
42,Nxde,(여자)아이들,큐브엔터테인먼트
43,너를 보는게 지친 하루에,송하예,디스튜디오
44,Say I Love You,우디(Woody),메이저나인
45,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
46,Shut Down,BLACKPINK,YG Entertainment
47,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
48,취중고백,김민석,프로젝트 리본
49,그라데이션,10cm,매직스트로베리사운드
50,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
51,해요 (2022),#안녕,일팔 프로젝트
52,오르트구름,윤하,C9엔터테인먼트
53,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
54,VIBE (feat. Jimin of BTS),태양,The Black Label
55,Cookie,NewJeans,ADOR
56,발걸음,DK,SUMMIT
57,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
58,Pink Venom,BLACKPINK,YG Entertainment
59,Set Me Free Pt.2,지민,BIGHIT MUSIC
60,내가 아니라도,주호,IN A MILLION
61,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records
62,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
63,Poppy (Korean Ver.),STAYC(스테이씨),하이업엔터테인먼트
64,TOMBOY,(여자)아이들,큐브엔터테인먼트
65,그중에 그대를 만나,김호중,캔버스뮤직
66,Say My Name,Say Yes!,Stone Music Entertainment
67,"Young, Dumb, Stupid",NMIXX,JYP Entertainment
68,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
69,가질 수 없는 너,#안녕,방구석 캐스팅
70,나의 X에게,경서,꿈의엔진
71,Unholy,"Sam Smith, Kim Petras",EMI
72,나비무덤,포맨 (4MEN),방구석 캐스팅
73,결국엔 너에게 닿아서,WSG워너비 (가야G),냠냠엔터테인먼트
74,우리들의 블루스,임영웅,물고기뮤직
75,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC
76,봄날,방탄소년단,BIGHIT MUSIC
77,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,쇼파르엔터테인먼트
78,Dynamite,방탄소년단,BIGHIT MUSIC
79,Ai Wo Tsutaetaidatoka,aimyon,WM Japan
80,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
81,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
82,되돌리다,먼데이 키즈 (Monday Kiz),오늘의 선곡
83,해금,Agust D,BIGHIT MUSIC
84,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
85,빙글빙글 (Prod. R.Tee),헤이즈 (Heize),피네이션
86,on the street (with J. Cole),"j-hope,  J. Cole",BIGHIT MUSIC
