n,담당자,Artist,dcinside_ID,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
238,박재형,도영 (DOYOUNG),19960201,,,,,,,
239,박재형,이클립스,,,,,,,,
240,박재형,우기 ((여자)아이들),yuqi,,,,,,,
241,박재형,김수현,,,,,,,,
242,박재형,Shawn Mendes,shawnmendes,,,,,,,
243,박재형,RM,rapmon,,,,,,,
244,박재형,유회승 (N.Flying),,,,,,,,
245,박재형,민니 ((여자)아이들),minnie,,,,,,,
246,박재형,Andy Grammer,andy83grammer,,,,,,,
247,박재형,엔플라잉 (N.Flying),nflying,,,,,,,
248,박재형,김형중,,,,,,,,
249,박재형,종호(에이티즈),,,,,,,,
250,성민규,마크 (MARK),nct_mark,,,,,,,
251,성민규,tripleS (트리플에스),triplescosmos,,,,,,,
252,성민규,Sabrina Carpenter,lovesabrina,,,,,,,
253,성민규,멜로망스(MeloMance),melomance,,,,,,,
254,성민규,혁오 (hyukoh),hyukoh,,,,,,,
255,성민규,Billie Eilish,oceaneyes,,,,,,,
256,성민규,하성운,nebula,,,,,,,
257,성민규,TREASURE (트레저),ygtreasure,,,,,,,
258,성민규,박재범,pjb,,,,,,,
259,성민규,HYNN(박혜원),parklove,,,,,,,
260,성민규,박지현,jihyeon,,,,,,,
261,성민규,XIA(준수),junsu,,,,,,,
262,성민규,나연 (TWICE),nayeone,,,,,,,
263,성민규,이영지,youngji_02,,,,,,,
264,성민규,Tommy Richman,,,,,,,,
265,성민규,하동균,hadonggyun,,,,,,,
266,성민규,연변대학최씨,,,,,,,,
267,성민규,Vaundy,vaundy0606,,,,,,,
268,성민규,리사 (LISA),lisa,,,,,,,
269,성민규,"이영현, 박민혜",,,,,,,,
270,성민규,이승윤,bgsmsyl,,,,,,,
271,성민규,박서진,seojinpark,,,,,,,
272,성민규,NCT WISH,nctwish,,,,,,,
273,성민규,김성철,ksc,,,,,,,
274,성민규,벤 (Ben),ben,,,,,,,
275,성민규,Seiko Matsuda,msko,,,,,,,
276,성민규,서은광,btobsilverlight,,,,,,,
277,성민규,신예영,,,,,,,,
278,성민규,거북이,goboogie,,,,,,,
279,성민규,S.Papa,,,,,,,,
280,성민규,황인욱,,,,,,,,
281,성민규,숀 (SHAUN),koxxshaun,,,,,,,
282,성민규,뱀뱀 (BamBam),bambam,,,,,,,
283,성민규,윤산하 (ASTRO),sanha,,,,,,,
284,성민규,프로미스나인 (fromis_9),fromis,,,,,,,
285,성민규,"Lady Gaga, Bruno Mars",,,,,,,,
286,성민규,재현 (JAEHYUN),jaehyun_970214,,,,,,,
287,성민규,온유 (ONEW),onew,,,,,,,
288,성민규,백현 (BAEKHYUN),baekhyun,,,,,,,
289,성민규,KIXO (키조),,,,,,,,
290,성민규,오반 (OVAN),ovan,,,,,,,
291,성민규,다이나믹 듀오 (Dynamic Duo),dynamicduo5,,,,,,,
292,성민규,프라이머리 (Primary),primary123,,,,,,,
293,성민규,MEOVV (미야오),meovvv,,,,,,,
294,성민규,Kenshi Yonezu,yonezkensi,,,,,,,
