date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on
2023-09-24,45,스테이씨,Teddy Bear,하이업엔터테인먼트,3:10,가요 / 댄스,3264422.0,65.88327,17.0,False
2023-09-24,46,뉴진스,Cool With You,ADOR,2:28,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,47,세븐틴,손오공,플레디스,3:20,가요 / 댄스,4099014.0,35.77106,50.0,False
2023-09-24,48,크러쉬,Click Like (Prod. Crush) (Feat. Paul Blanco),Stone Music Entertainment,2:46,가요 / R&B/소울,2113066.0,13.42077,27.0,False
2023-09-24,49,하이키,건물 사이에 피어난 장미 (Rose Blossom),GLG,3:16,가요 / 댄스,0.0,29.91883,0.0,False
2023-09-24,50,지수,꽃,YG Entertainment,2:53,가요 / 댄스,0.0,47.65091,67.0,False
2023-09-24,50,지수,꽃,YG Entertainment,2:53,가요 / 댄스,0.0,47.65091,5.0,False
2023-09-24,51,뷔,Love Me Again,BIGHIT MUSIC,3:02,가요 / R&B/소울,9874062.0,50.62411,0.0,False
2023-09-24,52,임한별,사랑하지 않아서 그랬어,플렉스엠,3:44,가요 / 발라드,1664288.0,19.64072,0.0,True
2023-09-24,53,김민석,취중고백,프로젝트 리본,3:48,가요 / 발라드,0.0,36.5283,72.0,False
2023-09-24,54,엔시티 유,Baggy Jeans,SM Entertainment,3:31,가요 / 댄스,1720691.0,33.09283,0.0,False
2023-09-24,56,이세계 아이돌,KIDDING,J Major,3:30,가요 / 전체,0.0,100.0,100.0,False
2023-09-24,58,에스파,Better Things,SM Entertainment,3:23,가요 / 댄스,4995647.0,25.42594,11.0,False
2023-09-24,59,르세라핌,ANTIFRAGILE,쏘스뮤직,3:04,가요 / 댄스,4688291.0,12.83059,18.0,False
2023-09-24,60,허각,물론,니즈뮤직,3:44,가요 / 발라드,2468924.0,41.028,57.0,False
2023-09-24,61,부석순,파이팅 해야지 (Feat. 이영지),플레디스,3:25,가요 / 댄스,4099014.0,22.37512,1.0,False
2023-09-24,62,찰리 푸스,I Don`t Think That I Like Her,Atlantic Records,3:09,POP / 팝,3727492.0,15.56366,13.0,False
2023-09-24,63,디오,Somebody,SM Entertainment,2:39,가요 / 블루스/포크,0.0,76.55008,63.0,False
2023-09-24,63,디오,Somebody,SM Entertainment,2:39,가요 / 블루스/포크,0.0,76.55008,45.0,False
2023-09-24,64,디오,별 떨어진다 (I Do),SM Entertainment,2:43,가요 / 발라드,0.0,76.55008,63.0,False
2023-09-24,65,케이시,사실말야내가말야그게그러니까말이야,넥스타엔터테인먼트,2:55,가요 / 발라드,0.0,34.21674,47.0,False
2023-09-24,66,#안녕,해요 (2022),일팔 프로젝트,3:58,가요 / 발라드,0.0,13.34714,59.0,True
2023-09-24,67,임영웅,모래 알갱이,물고기뮤직,3:40,가요 / 발라드,5430728.0,51.15188,30.0,False
2023-09-24,68,우효,민들레 (single ver.),문화인,4:13,가요 / 인디,0.0,93.26119,100.0,False
2023-09-24,69,지민,Like Crazy,BIGHIT MUSIC,3:32,가요 / 댄스,0.0,35.12834,44.0,False
2023-09-24,70,피프티 피프티,Cupid,ATTRAKT,2:54,가요 / 댄스,0.0,20.2219,1.0,False
2023-09-24,72,엔시티 드림,Candy,SM Entertainment,3:37,가요 / 댄스,2295308.0,31.20076,2.0,False
