date,Title,Artist,변환한이름,Score
2024-08-25,사건의 지평선,윤하,윤하,14.0
2024-09-01,사건의 지평선,윤하,윤하,27.0
2024-09-08,사건의 지평선,윤하,윤하,17.0
2024-09-15,사건의 지평선,윤하,윤하,14.0
2024-09-22,사건의 지평선,윤하,윤하,18.0
2023-09-24,OMG,NewJeans,NewJeans,6.0
2023-10-01,OMG,NewJeans,NewJeans,7.0
2023-10-08,OMG,NewJeans,NewJeans,6.0
2023-10-15,OMG,NewJeans,NewJeans,5.0
2023-10-22,OMG,NewJeans,NewJeans,5.0
2023-10-29,OMG,NewJeans,NewJeans,5.0
2023-11-05,OMG,NewJeans,NewJeans,5.0
2023-11-12,OMG,NewJeans,NewJeans,4.0
2023-11-19,OMG,NewJeans,NewJeans,7.0
2023-11-26,OMG,NewJeans,NewJeans,6.0
2023-12-03,OMG,NewJeans,NewJeans,5.0
2023-12-10,OMG,NewJeans,NewJeans,6.0
2023-12-17,OMG,NewJeans,NewJeans,5.0
2023-12-24,OMG,NewJeans,NewJeans,6.0
2023-12-31,OMG,NewJeans,NewJeans,6.0
2024-01-07,OMG,NewJeans,NewJeans,5.0
2024-01-14,OMG,NewJeans,NewJeans,3.0
2024-01-21,OMG,NewJeans,NewJeans,4.0
2024-01-28,OMG,NewJeans,NewJeans,4.0
2024-02-04,OMG,NewJeans,NewJeans,5.0
2024-02-11,OMG,NewJeans,NewJeans,3.0
2024-02-18,OMG,NewJeans,NewJeans,4.0
2024-02-25,OMG,NewJeans,NewJeans,4.0
2024-03-03,OMG,NewJeans,NewJeans,3.0
2024-03-10,OMG,NewJeans,NewJeans,3.0
2024-03-17,OMG,NewJeans,NewJeans,4.0
2024-03-24,OMG,NewJeans,NewJeans,5.0
2024-03-31,OMG,NewJeans,NewJeans,4.0
2024-04-07,OMG,NewJeans,NewJeans,4.0
2024-04-14,OMG,NewJeans,NewJeans,4.0
2024-04-21,OMG,NewJeans,NewJeans,8.0
2024-04-28,OMG,NewJeans,NewJeans,8.0
2024-05-05,OMG,NewJeans,NewJeans,7.0
2024-05-12,OMG,NewJeans,NewJeans,7.0
2024-05-19,OMG,NewJeans,NewJeans,9.0
2024-05-26,OMG,NewJeans,NewJeans,9.0
2024-06-02,OMG,NewJeans,NewJeans,7.0
2024-06-09,OMG,NewJeans,NewJeans,9.0
2024-06-16,OMG,NewJeans,NewJeans,14.0
2024-06-23,OMG,NewJeans,NewJeans,12.0
2024-06-30,OMG,NewJeans,NewJeans,10.0
2024-07-07,OMG,NewJeans,NewJeans,8.0
2024-07-14,OMG,NewJeans,NewJeans,6.0
2024-07-21,OMG,NewJeans,NewJeans,8.0
2024-07-28,OMG,NewJeans,NewJeans,6.0
2024-08-04,OMG,NewJeans,NewJeans,6.0
2024-08-11,OMG,NewJeans,NewJeans,6.0
2024-08-18,OMG,NewJeans,NewJeans,6.0
2024-08-25,OMG,NewJeans,NewJeans,5.0
2024-09-01,OMG,NewJeans,NewJeans,6.0
2024-09-08,OMG,NewJeans,NewJeans,8.0
2024-09-15,OMG,NewJeans,NewJeans,6.0
2024-09-22,OMG,NewJeans,NewJeans,5.0
2023-09-24,Hype boy,NewJeans,NewJeans,6.0
2023-10-01,Hype boy,NewJeans,NewJeans,7.0
2023-10-08,Hype boy,NewJeans,NewJeans,6.0
2023-10-15,Hype boy,NewJeans,NewJeans,5.0
2023-10-22,Hype boy,NewJeans,NewJeans,5.0
2023-10-29,Hype boy,NewJeans,NewJeans,5.0
2023-11-05,Hype boy,NewJeans,NewJeans,5.0
2023-11-12,Hype boy,NewJeans,NewJeans,4.0
2023-11-19,Hype boy,NewJeans,NewJeans,7.0
2023-11-26,Hype boy,NewJeans,NewJeans,6.0
2023-12-03,Hype boy,NewJeans,NewJeans,5.0
2023-12-10,Hype boy,NewJeans,NewJeans,6.0
2023-12-17,Hype boy,NewJeans,NewJeans,5.0
2023-12-24,Hype boy,NewJeans,NewJeans,6.0
2023-12-31,Hype boy,NewJeans,NewJeans,6.0
2024-01-07,Hype boy,NewJeans,NewJeans,5.0
2024-01-14,Hype boy,NewJeans,NewJeans,3.0
2024-01-21,Hype boy,NewJeans,NewJeans,4.0
2024-01-28,Hype boy,NewJeans,NewJeans,4.0
2024-02-04,Hype boy,NewJeans,NewJeans,5.0
2024-02-11,Hype boy,NewJeans,NewJeans,3.0
2024-02-18,Hype boy,NewJeans,NewJeans,4.0
2024-02-25,Hype boy,NewJeans,NewJeans,4.0
2024-03-03,Hype boy,NewJeans,NewJeans,3.0
2024-03-10,Hype boy,NewJeans,NewJeans,3.0
2024-03-17,Hype boy,NewJeans,NewJeans,4.0
2024-03-24,Hype boy,NewJeans,NewJeans,5.0
2024-03-31,Hype boy,NewJeans,NewJeans,4.0
2024-04-07,Hype boy,NewJeans,NewJeans,4.0
2024-04-14,Hype boy,NewJeans,NewJeans,4.0
2024-04-21,Hype boy,NewJeans,NewJeans,8.0
2024-04-28,Hype boy,NewJeans,NewJeans,8.0
2024-05-05,Hype boy,NewJeans,NewJeans,7.0
2024-05-12,Hype boy,NewJeans,NewJeans,7.0
2024-05-19,Hype boy,NewJeans,NewJeans,9.0
2024-05-26,Hype boy,NewJeans,NewJeans,9.0
2024-06-02,Hype boy,NewJeans,NewJeans,7.0
2024-06-09,Hype boy,NewJeans,NewJeans,9.0
2024-06-16,Hype boy,NewJeans,NewJeans,14.0
2024-06-23,Hype boy,NewJeans,NewJeans,12.0
2024-06-30,Hype boy,NewJeans,NewJeans,10.0
2024-07-07,Hype boy,NewJeans,NewJeans,8.0
2024-07-14,Hype boy,NewJeans,NewJeans,6.0
2024-07-21,Hype boy,NewJeans,NewJeans,8.0
2024-07-28,Hype boy,NewJeans,NewJeans,6.0
2024-08-04,Hype boy,NewJeans,NewJeans,6.0
2024-08-11,Hype boy,NewJeans,NewJeans,6.0
2024-08-18,Hype boy,NewJeans,NewJeans,6.0
2024-08-25,Hype boy,NewJeans,NewJeans,5.0
2024-09-01,Hype boy,NewJeans,NewJeans,6.0
2024-09-08,Hype boy,NewJeans,NewJeans,8.0
2024-09-15,Hype boy,NewJeans,NewJeans,6.0
2024-09-22,Hype boy,NewJeans,NewJeans,5.0
2023-09-24,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2023-10-01,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2023-10-08,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2023-10-15,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2023-10-22,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2023-10-29,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2023-11-05,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2023-11-12,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2023-11-19,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,3.0
2023-11-26,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2023-12-03,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2023-12-10,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,7.0
2023-12-17,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2023-12-24,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2023-12-31,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,16.0
