date,Rank,Title,Artist,Production
2023-09-24,89,봄날,방탄소년단,BIGHIT MUSIC
2023-09-24,90,Paint The Town Red,Doja Cat,Kemosabe Records/RCA Records
2023-09-24,91,빛이 나는 너에게,던 (DAWN),AT AREA
2023-09-24,92,Underwater,권은비,울림 엔터테인먼트
2023-09-24,93,가을 타나 봐,바이브 (Vibe),메이저나인
2023-09-24,94,Butter,방탄소년단,BIGHIT MUSIC
2023-09-24,95,다시 만날 수 있을까,임영웅,물고기뮤직
2023-09-24,96,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
2023-09-24,97,달빛에 그려지는,미연 ((여자)아이들),도너츠컬쳐
2023-09-24,98,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),ES Records
2023-09-24,99,Rewrite The Stars,"Zac Efron, Zendaya",Atlantic Records
2023-09-24,100,DINOSAUR,AKMU (악뮤),YG Entertainment
2023-09-24,101,ISTJ,NCT DREAM,SM Entertainment
2023-09-24,102,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
2023-09-24,103,OVER,이세계 아이돌,패러블엔터테인먼트
2023-09-24,104,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records
2023-09-24,105,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),Ambition Musik
2023-09-24,106,뭣 같아,BOYNEXTDOOR,KOZ 엔터테인먼트
2023-09-24,107,Memories,RIIZE,SM Entertainment
2023-09-24,108,Heaven(2023),임재현,캔버스뮤직
2023-09-24,109,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
2023-09-24,110,アイドル,YOASOBI,YOASOBI
2023-09-24,111,희재,성시경,씨에스해피엔터테인먼트
2023-09-24,112,Nxde,(여자)아이들,큐브엔터테인먼트
2023-09-24,113,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
2023-09-24,114,무지개,임영웅,물고기뮤직
2023-09-24,115,Shut Down,BLACKPINK,YG Entertainment
2023-09-24,116,나의 X에게,경서,꿈의엔진
2023-09-24,117,한 페이지가 될 수 있게,DAY6,JYP Entertainment
2023-09-24,118,on the street (with J. Cole),"j-hope,  J. Cole",BIGHIT MUSIC
2023-09-24,119,첫사랑,백아,Baek A
2023-09-24,120,NIGHT DANCER,imase,Universal Music
2023-09-24,121,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
2023-09-24,122,예뻤어,DAY6,JYP Entertainment
2023-09-24,123,Allergy,(여자)아이들,큐브엔터테인먼트
2023-09-24,124,트월ㅋ (Prod. Czaer),"미연 ((여자)아이들), 우기 ((여자)아이들)",Stone Music Entertainment
2023-09-24,125,When I Get Old,"Christopher, 청하",Parlophone Denmark
2023-09-24,126,AEAO,"다이나믹 듀오 (Dynamic Duo), DJ Premier",아메바컬쳐
2023-09-24,127,아버지,임영웅,물고기뮤직
2023-09-24,128,폼미쳤다,영탁,탁스튜디오
2023-09-24,129,Superhero,이세계 아이돌,패러블엔터테인먼트
2023-09-24,130,내가 아니라도,주호,IN A MILLION
2023-09-24,131,London Boy,임영웅,물고기뮤직
2023-09-24,132,Off My Face,Justin Bieber,RBMG/Def Jam
2023-09-24,133,오르트구름,윤하,C9엔터테인먼트
2023-09-24,134,Pink Venom,BLACKPINK,YG Entertainment
2023-09-24,135,Sugarcoat (NATTY Solo),KISS OF LIFE,S2 ENTERTAINMENT INC.
2023-09-24,136,Polaroid,임영웅,물고기뮤직
2023-09-24,137,오랜 날 오랜 밤,AKMU (악뮤),YG Entertainment
2023-09-24,138,Take Two,방탄소년단,BIGHIT MUSIC
2023-09-24,139,가을밤에 든 생각,잔나비,페포니 뮤직
2023-09-24,140,Cookie,NewJeans,ADOR
2023-09-24,141,Yogurt Shake,NCT DREAM,SM Entertainment
2023-09-24,142,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
2023-09-24,143,이럴거면,거미,Studio Beyond
2023-09-24,144,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
2023-09-24,145,2002,Anne-Marie,Atlantic Records UK
2023-09-24,146,Boat,죠지,크래프트앤준
2023-09-24,147,그리워하다,비투비 (BTOB),큐브엔터테인먼트
2023-09-24,148,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
2023-09-24,149,인생찬가,임영웅,물고기뮤직
2023-09-24,150,밤하늘의 별을(2020),경서,꿈의엔진
2023-09-24,151,Seven (feat. Latto) - Explicit Ver.,정국,BIGHIT MUSIC
2023-09-24,152,이제 우리 꿈에서만 만나,Yyeon,Yyeon
2023-09-24,153,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
2023-09-24,154,In Bloom,ZEROBASEONE (제로베이스원),WAKEONE
2023-09-24,155,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC
2023-09-24,156,Trip (Feat. Hannah),릴러말즈 (Leellamarz),STRAD
2023-09-24,157,KNOCK,이채연,WM엔터테인먼트
2023-09-24,158,거리에서,성시경,제로원인터랙티브
2023-09-24,159,어른,Sondia,Stone Music Entertainment
2023-09-24,160,첫눈처럼 너에게 가겠다,에일리 (Ailee),"Stone Music Entertainment, 화앤담픽쳐스"
2023-09-24,161,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
2023-09-24,162,늦은 밤 너의 집 앞 골목길에서,노을,씨제스엔터테인먼트
2023-09-24,163,Next Level,aespa,SM Entertainment
2023-09-24,164,Bye bye my blue,백예린,JYP Entertainment
2023-09-24,165,I`m Not The Only One,Sam Smith,Capitol Records
2023-09-24,166,Happiness,"허용별 (허각, 신용재, 임한별)",플렉스엠
2023-09-24,167,A bientot,임영웅,물고기뮤직
2023-09-24,168,Permission to Dance,방탄소년단,BIGHIT MUSIC
2023-09-24,169,사랑하지 않아서 그랬니,지아 (Zia),플렉스엠
2023-09-24,170,Say I Love You,우디(Woody),메이저나인
2023-09-24,171,가을 아침,아이유 (IU),"페이브엔터테인먼트,카카오 M"
2023-09-24,172,"10,000 Hours","Dan + Shay, Justin Bieber",Warner Music
2023-09-24,173,Thirsty,aespa,SM Entertainment
2023-09-24,174,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,페포니 뮤직
2023-09-24,175,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc"
2023-09-24,176,200%,AKMU (악뮤),YG Entertainment
2023-09-24,177,손이 참 곱던 그대,임영웅,물고기뮤직
2023-09-24,178,Give Love,AKMU (악뮤),YG Entertainment
2023-09-24,179,그런 일은,Paul Blanco,Kakao Entertainment
