,date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on,Genre_split,J-POP,Soul,Trot,Pop,OriginalSoundtrack,Hip-Hop,Rap,Drama,Electronica,Rock,KoreanMovies,R&B,Ballad,Classical,Indie,All,Crossover,Jazz,Blues,K-Pop,Folk,Dance,Traditional,season_autumn,season_spring,season_summer,season_winter
20,2023-09-24,22,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",TOON STUDIO,-5.427350160685161,가요/발라드,-1.0118850155545682,-0.0012024478044788344,0.0034000000000000002,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,2023-09-24,23,윤하,사건의 지평선,C9엔터테인먼트,-5.397683812225667,가요/락,-1.011884849277438,-0.0015382367628981766,0.001,1,"['K-Pop', 'Rock']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22,2023-09-24,24,서동현,Vancouver 2,H1GHR MUSIC,-5.465985405190548,가요/락,-1.0118848131911438,-0.0011342117201525379,0.0038,0,"['K-Pop', 'Rock']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,2023-09-24,25,르세라핌,UNFORGIVEN (feat. Nile Rodgers),쏘스뮤직,-5.479783706799614,가요/댄스,-1.0118848252397499,-0.0028025096829703716,0.0018,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
24,2023-09-24,26,정국,3D (feat. Jack Harlow),BIGHIT MUSIC,-5.465985405190548,가요/댄스,-1.0118848606900177,0.0021049507468954174,0.0045000000000000005,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
25,2023-09-24,27,악뮤,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",YG Entertainment,-5.405272878110654,가요/발라드,-1.0118843263324389,0.005412672907037638,0.01,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26,2023-09-24,28,폴 블랑코,Summer (Feat. 비오 (비오)),Ambition Musik,-5.467365235351454,가요/랩/힙합,-1.011884992878081,0.0056547816637015046,0.0,0,"['K-Pop', 'Rap', 'Hip-Hop']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
27,2023-09-24,29,라이즈,Get A Guitar,SM Entertainment,-5.494961838569588,가요/댄스,-1.011885148233292,-1.1522172638238695e-05,0.0044,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
28,2023-09-24,30,아이브,After LIKE,스타쉽엔터테인먼트,-5.483233282201882,가요/댄스,-1.0118844679729881,0.0024598457282759625,0.0048,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
29,2023-09-24,31,뉴진스,OMG,ADOR,-5.459086254386014,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
30,2023-09-24,32,정국,Still With You,BIGHIT MUSIC,-5.439768632133321,가요/R&B/소울,-1.0118848606900177,0.0021049507468954174,0.0045000000000000005,0,"['K-Pop', 'R&B', 'Soul']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31,2023-09-24,33,뉴진스,Attention,ADOR,-5.482543367121428,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
32,2023-09-24,33,뉴진스,Attention,ADOR,-5.482543367121428,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0013000000000000002,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
33,2023-09-24,34,있지,CAKE,JYP Entertainment,-5.4680551504319075,가요/랩/힙합,-1.0118849701154078,-0.002056431180608635,0.005200000000000001,0,"['K-Pop', 'Rap', 'Hip-Hop']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
34,2023-09-24,35,아이브,LOVE DIVE,스타쉽엔터테인먼트,-5.483233282201882,가요/댄스,-1.0118844679729881,0.0024598457282759625,0.0048,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
35,2023-09-24,36,성시경,너의 모든 순간,SBS 콘텐츠허브,-5.437698886891961,OST/드라마,-1.0118849032931703,0.00044592351999733944,0.0013000000000000002,0,"['OriginalSoundtrack', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,2023-09-24,37,임영웅,사랑은 늘 도망가,모스트콘텐츠,-5.437698886891961,OST/드라마,-1.0118847740905452,0.0010607630409791508,0.003,0,"['OriginalSoundtrack', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,2023-09-24,38,아이브,I WANT,스타쉽엔터테인먼트,-5.480473621880067,가요/댄스,-1.0118844679729881,0.0024598457282759625,0.0048,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
38,2023-09-24,39,디케이,심(心),방구석 캐스팅,-5.428040075765614,가요/락,-1.011885148233292,-0.0003448260979951414,0.0013000000000000002,0,"['K-Pop', 'Rock']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39,2023-09-24,40,잔나비,주저하는 연인들을 위해,페포니 뮤직,-5.422520755121988,가요/인디,-1.0118849121634361,-0.0032587375581863043,0.0023,1,"['K-Pop', 'Indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
40,2023-09-24,41,탑현,나에게 그대만이,레이벡스,-5.473574471075534,가요/발라드,-1.011885148233292,0.0031281361429578046,0.0,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
