,artist,week,ratio,Artist_x,New_Artist,Rank,Title,Artist_y,Production
2307,여자 아이들,2024-05-12,22.29595,(여자)아이들,여자 아이들,,,,
2308,여자 아이들,2024-05-19,21.26814,(여자)아이들,여자 아이들,,,,
2309,여자 아이들,2024-05-26,24.18798,(여자)아이들,여자 아이들,,,,
2310,여자 아이들,2024-06-02,20.49034,(여자)아이들,여자 아이들,,,,
2311,여자 아이들,2024-06-09,19.68167,(여자)아이들,여자 아이들,,,,
2312,여자 아이들,2024-06-16,18.56641,(여자)아이들,여자 아이들,,,,
2313,여자 아이들,2024-06-23,17.74643,(여자)아이들,여자 아이들,,,,
2314,여자 아이들,2024-06-30,19.7434,(여자)아이들,여자 아이들,,,,
2315,여자 아이들,2024-07-07,54.34015,(여자)아이들,여자 아이들,,,,
2316,여자 아이들,2024-07-14,49.55605,(여자)아이들,여자 아이들,,,,
2317,여자 아이들,2024-07-21,40.19156,(여자)아이들,여자 아이들,,,,
