Unnamed: 0,date,Rank,Title,Artist_x,Production,Weekly Views,Genre,Runtime,New_Artist,n_score,g_score,ky_chart_on,Artist_y,Date,Ratio
45,2023-09-24,45,Teddy Bear,STAYC(스테이씨),하이업엔터테인먼트,3264422.0,가요 / 댄스,3:10,스테이씨,65.88327,17.0,False,스테이씨,2023-09-24,65.88327
12,2023-09-24,13,퀸카 (Queencard),(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,2:41,여자 아이들,17.8133,3.0,False,여자 아이들,2023-09-24,17.8133
86,2023-09-24,84,TOMBOY,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 락,2:54,여자 아이들,17.8133,3.0,False,여자 아이들,2023-09-24,17.8133
87,2023-09-24,84,TOMBOY,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 락,2:54,여자 아이들,17.8133,12.0,False,여자 아이들,2023-09-24,17.8133
116,2023-09-24,112,Nxde,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,2:58,여자 아이들,17.8133,3.0,False,여자 아이들,2023-09-24,17.8133
127,2023-09-24,123,Allergy,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,2:43,여자 아이들,17.8133,3.0,False,여자 아이들,2023-09-24,17.8133
14,2023-09-24,15,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,3:06,르세라핌,12.83059,18.0,False,르세라핌,2023-09-24,12.83059
24,2023-09-24,25,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,3:02,르세라핌,12.83059,18.0,False,르세라핌,2023-09-24,12.83059
60,2023-09-24,59,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,3:04,르세라핌,12.83059,18.0,False,르세라핌,2023-09-24,12.83059
146,2023-09-24,142,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,2:48,르세라핌,12.83059,18.0,False,르세라핌,2023-09-24,12.83059
16,2023-09-24,17,Steal The Show (From “엘리멘탈”),Lauv,Walt Disney Records,3504236.0,OST / 전체,3:13,라우브,21.6056,4.0,False,라우브,2023-09-24,21.6056
17,2023-09-24,18,Spicy,에스파,SM Entertainment,4995647.0,가요 / 댄스,3:17,에스파,25.42594,11.0,False,에스파,2023-09-24,25.42594
