date,Rank,Artist,Weekly Views
2023-09-24,148,WSG워너비 (가야G),1676804.0
2023-09-24,149,임영웅,5430728.0
2023-09-24,150,경서,1586369.0
2023-09-24,151,정국,4173726.0
2023-09-24,152,Yyeon,
2023-09-24,153,Charlie Puth,3727492.0
2023-09-24,154,ZEROBASEONE (제로베이스원),
2023-09-24,155,BIG Naughty (서동현),4863178.0
2023-09-24,156,릴러말즈 (Leellamarz),4067143.0
2023-09-24,157,이채연,
2023-09-24,158,성시경,3555336.0
2023-09-24,159,Sondia,
2023-09-24,160,에일리 (Ailee),1538524.0
2023-09-24,161,멜로망스(Melomance),2467570.0
2023-09-24,162,노을,1600204.0
2023-09-24,163,aespa,4995647.0
2023-09-24,164,백예린,3104738.0
2023-09-24,165,Sam Smith,
2023-09-24,166,"허용별 (허각, 신용재, 임한별)",2468924.0
2023-09-24,167,임영웅,5430728.0
2023-09-24,168,방탄소년단,4712538.0
2023-09-24,169,지아 (Zia),1717017.0
2023-09-24,170,우디(Woody),1743014.0
2023-09-24,171,아이유 (IU),7814217.0
2023-09-24,172,"Dan + Shay, Justin Bieber",
2023-09-24,173,aespa,4995647.0
2023-09-24,174,잔나비,3426583.0
2023-09-24,175,Justin Bieber,2780062.0
2023-09-24,176,AKMU (악뮤),11929992.0
2023-09-24,177,임영웅,5430728.0
2023-09-24,178,AKMU (악뮤),11929992.0
2023-09-24,179,Paul Blanco,2255000.0
2023-09-24,180,임영웅,5430728.0
2023-09-24,181,Ed Sheeran,2031892.0
2023-09-24,182,"정은지, 서인국",
2023-09-24,183,임영웅,5430728.0
2023-09-24,184,임영웅,5430728.0
2023-09-24,185,데이먼스 이어 (Damons Year),
2023-09-24,186,NMIXX,1518475.0
2023-09-24,187,마크툽 (Maktub),1544701.0
2023-09-24,188,아이유 (IU),7814217.0
2023-09-24,189,Charlie Puth,3727492.0
2023-09-24,190,헤이즈 (Heize),2095750.0
2023-09-24,191,김승민,1519219.0
2023-09-24,192,엠씨더맥스 (M.C The Max),2928199.0
2023-09-24,193,Yuuri,1581660.0
2023-09-24,194,아이유 (IU),7814217.0
2023-09-24,195,BLACKPINK,4668125.0
2023-09-24,196,아이유 (IU),7814217.0
2023-09-24,197,이무진,1681594.0
2023-09-24,198,BE`O (비오),1472656.0
2023-09-24,199,백예린,3104738.0
2023-09-24,200,태연 (TAEYEON),3339484.0
2023-10-01,1,AKMU (악뮤),11053352.0
2023-10-01,2,NCT 127,1492492.0
2023-10-01,3,AKMU (악뮤),11053352.0
2023-10-01,4,"다이나믹 듀오 (Dynamic Duo), 이영지",3776413.0
2023-10-01,5,정국,7296860.0
2023-10-01,6,NewJeans,10594372.0
2023-10-01,7,NewJeans,10594372.0
2023-10-01,8,정국,7296860.0
2023-10-01,9,전소미,2427247.0
2023-10-01,10,박재정,1796894.0
2023-10-01,11,화사(Hwa Sa),1560865.0
2023-10-01,12,우디(Woody),1675680.0
2023-10-01,13,IVE (아이브),9619194.0
2023-10-01,14,IVE (아이브),9619194.0
2023-10-01,15,STAYC(스테이씨),2937867.0
2023-10-01,16,(여자)아이들,3644521.0
2023-10-01,17,NewJeans,10594372.0
2023-10-01,18,RIIZE,1664995.0
2023-10-01,19,LE SSERAFIM (르세라핌),4335304.0
2023-10-01,20,Lauv,3139154.0
2023-10-01,21,aespa,4592750.0
2023-10-01,22,NewJeans,10594372.0
2023-10-01,23,로이킴,1636248.0
2023-10-01,24,IVE (아이브),9619194.0
2023-10-01,25,NewJeans,10594372.0
2023-10-01,26,윤하,3931666.0
2023-10-01,27,LE SSERAFIM (르세라핌),4335304.0
2023-10-01,28,AKMU (악뮤),11053352.0
2023-10-01,29,정국,7296860.0
2023-10-01,30,Paul Blanco,1914237.0
2023-10-01,31,BIG Naughty (서동현),4088242.0
2023-10-01,32,IVE (아이브),9619194.0
2023-10-01,33,NewJeans,10594372.0
2023-10-01,34,성시경,3182968.0
2023-10-01,35,NewJeans,10594372.0
2023-10-01,36,임영웅,5206668.0
2023-10-01,37,IVE (아이브),9619194.0
