artist,response.startDate,response.endDate,response.timeUnit,response.results
악뮤,2024-09-09,2024-09-27,week,"[{'title': '악뮤', 'keywords': ['악뮤'], 'data': [{'period': '2024-09-09', 'ratio': 70.51358}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 41.30477}]}]"
다이나믹 듀오,2024-09-09,2024-09-27,week,"[{'title': '다이나믹 듀오', 'keywords': ['다이나믹 듀오'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 89.16832}, {'period': '2024-09-23', 'ratio': 83.34436}]}]"
이영지,2024-09-09,2024-09-27,week,"[{'title': '이영지', 'keywords': ['이영지'], 'data': [{'period': '2024-09-09', 'ratio': 92.28727}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 38.74659}]}]"
뉴진스,2024-09-09,2024-09-27,week,"[{'title': '뉴진스', 'keywords': ['뉴진스'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 22.44168}, {'period': '2024-09-23', 'ratio': 33.6227}]}]"
정국,2024-09-09,2024-09-27,week,"[{'title': '정국', 'keywords': ['정국'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 41.91656}, {'period': '2024-09-23', 'ratio': 11.76047}]}]"
전소미,2024-09-09,2024-09-27,week,"[{'title': '전소미', 'keywords': ['전소미'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 88.40182}, {'period': '2024-09-23', 'ratio': 46.11872}]}]"
박재정,2024-09-09,2024-09-27,week,"[{'title': '박재정', 'keywords': ['박재정'], 'data': [{'period': '2024-09-09', 'ratio': 78.35898}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 46.36078}]}]"
화사,2024-09-09,2024-09-27,week,"[{'title': '화사', 'keywords': ['화사'], 'data': [{'period': '2024-09-09', 'ratio': 15.68724}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 66.67234}]}]"
아이브,2024-09-09,2024-09-27,week,"[{'title': '아이브', 'keywords': ['아이브'], 'data': [{'period': '2024-09-09', 'ratio': 90.08041}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 45.55829}]}]"
우디,2024-09-09,2024-09-27,week,"[{'title': '우디', 'keywords': ['우디'], 'data': [{'period': '2024-09-09', 'ratio': 82.65983}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 54.82651}]}]"
스테이씨,2024-09-09,2024-09-27,week,"[{'title': '스테이씨', 'keywords': ['스테이씨'], 'data': [{'period': '2024-09-09', 'ratio': 89.67652}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 52.64401}]}]"
여자 아이들,2024-09-09,2024-09-27,week,"[{'title': '여자 아이들', 'keywords': ['여자 아이들'], 'data': [{'period': '2024-09-09', 'ratio': 92.25541}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 47.02347}]}]"
르세라핌,2024-09-09,2024-09-27,week,"[{'title': '르세라핌', 'keywords': ['르세라핌'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 59.58201}, {'period': '2024-09-23', 'ratio': 30.86835}]}]"
라우브,2024-09-09,2024-09-27,week,"[{'title': '라우브', 'keywords': ['라우브'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 84.73655}, {'period': '2024-09-23', 'ratio': 92.72134}]}]"
에스파,2024-09-09,2024-09-27,week,"[{'title': '에스파', 'keywords': ['에스파'], 'data': [{'period': '2024-09-09', 'ratio': 86.90473}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 45.51943}]}]"
로이킴,2024-09-09,2024-09-27,week,"[{'title': '로이킴', 'keywords': ['로이킴'], 'data': [{'period': '2024-09-09', 'ratio': 29.47203}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 22.57577}]}]"
윤하,2024-09-09,2024-09-27,week,"[{'title': '윤하', 'keywords': ['윤하'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 64.58149}, {'period': '2024-09-23', 'ratio': 42.4969}]}]"
서동현,2024-09-09,2024-09-27,week,"[{'title': '서동현', 'keywords': ['서동현'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 84.46993}, {'period': '2024-09-23', 'ratio': 48.2048}]}]"
폴 블랑코,2024-09-09,2024-09-27,week,"[{'title': '폴 블랑코', 'keywords': ['폴 블랑코'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 50.91087}, {'period': '2024-09-23', 'ratio': 37.07959}]}]"
라이즈,2024-09-09,2024-09-27,week,"[{'title': '라이즈', 'keywords': ['라이즈'], 'data': [{'period': '2024-09-09', 'ratio': 95.03358}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 46.37062}]}]"
있지,2024-09-09,2024-09-27,week,"[{'title': '있지', 'keywords': ['있지'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 99.1144}, {'period': '2024-09-23', 'ratio': 49.76771}]}]"
