artist,week,ratio
이영지,2024-09-02,25.90266
뉴진스,2023-09-18,12.58839
뉴진스,2023-09-25,10.55509
뉴진스,2023-10-02,10.07439
뉴진스,2023-10-09,9.50657
뉴진스,2023-10-16,8.21728
뉴진스,2023-10-23,8.09638
뉴진스,2023-10-30,9.73275
뉴진스,2023-11-06,11.5042
뉴진스,2023-11-13,13.32638
뉴진스,2023-11-20,13.87124
뉴진스,2023-11-27,12.95201
뉴진스,2023-12-04,11.13618
뉴진스,2023-12-11,11.1567
뉴진스,2023-12-18,9.23186
뉴진스,2023-12-25,13.38435
뉴진스,2024-01-01,11.82166
뉴진스,2024-01-08,8.77916
뉴진스,2024-01-15,8.1506
뉴진스,2024-01-22,6.62594
뉴진스,2024-01-29,6.45813
뉴진스,2024-02-05,6.51455
뉴진스,2024-02-12,5.79659
뉴진스,2024-02-19,6.66306
뉴진스,2024-02-26,7.12284
뉴진스,2024-03-04,5.54712
뉴진스,2024-03-11,4.83779
뉴진스,2024-03-18,5.27551
뉴진스,2024-03-25,6.94933
뉴진스,2024-04-01,6.75132
뉴진스,2024-04-08,6.50609
뉴진스,2024-04-15,5.8702
뉴진스,2024-04-22,100.0
뉴진스,2024-04-29,47.22216
뉴진스,2024-05-06,17.81326
뉴진스,2024-05-13,25.4602
뉴진스,2024-05-20,31.8221
뉴진스,2024-05-27,32.22871
뉴진스,2024-06-03,25.62963
뉴진스,2024-06-10,20.4743
뉴진스,2024-06-17,17.91992
뉴진스,2024-06-24,18.26204
뉴진스,2024-07-01,19.81952
뉴진스,2024-07-08,17.20399
뉴진스,2024-07-15,13.54124
뉴진스,2024-07-22,16.07177
뉴진스,2024-07-29,12.69399
뉴진스,2024-08-05,9.84804
뉴진스,2024-08-12,8.28413
뉴진스,2024-08-19,7.17373
뉴진스,2024-08-26,7.34031
뉴진스,2024-09-02,10.99663
정국,2023-09-18,38.5358
정국,2023-09-25,61.50958
정국,2023-10-02,64.77082
정국,2023-10-09,49.24285
정국,2023-10-16,45.93135
정국,2023-10-23,38.13291
정국,2023-10-30,72.10314
정국,2023-11-06,100.0
정국,2023-11-13,78.44728
정국,2023-11-20,75.32061
정국,2023-11-27,61.52093
정국,2023-12-04,59.89153
정국,2023-12-11,69.33234
정국,2023-12-18,30.08074
정국,2023-12-25,27.66338
정국,2024-01-01,25.54029
정국,2024-01-08,25.42923
정국,2024-01-15,31.01136
정국,2024-01-22,24.21812
정국,2024-01-29,21.74565
정국,2024-02-05,20.53535
정국,2024-02-12,19.75469
정국,2024-02-19,19.57878
정국,2024-02-26,19.63228
정국,2024-03-04,17.13711
정국,2024-03-11,18.40091
정국,2024-03-18,19.03484
정국,2024-03-25,16.45778
정국,2024-04-01,15.1802
정국,2024-04-08,15.60904
정국,2024-04-15,17.71591
정국,2024-04-22,16.20324
정국,2024-04-29,17.30572
정국,2024-05-06,14.91674
정국,2024-05-13,14.50007
정국,2024-05-20,13.41299
정국,2024-05-27,12.86823
정국,2024-06-03,19.28208
정국,2024-06-10,22.11611
정국,2024-06-17,14.14257
정국,2024-06-24,13.03036
정국,2024-07-01,12.09082
정국,2024-07-08,12.04461
정국,2024-07-15,12.68665
정국,2024-07-22,13.97801
정국,2024-07-29,12.06083
정국,2024-08-05,16.10191
정국,2024-08-12,16.69044
정국,2024-08-19,14.35577
정국,2024-08-26,17.30329
정국,2024-09-02,13.85884
전소미,2023-09-18,70.31678
전소미,2023-09-25,61.76283
전소미,2023-10-02,46.79575
전소미,2023-10-09,45.52706
