date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,59,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,03:04
2023-09-24,60,물론,허각,니즈뮤직,2468924.0,가요 / 발라드,03:44
2023-09-24,61,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),플레디스,4099014.0,가요 / 댄스,03:25
2023-09-24,62,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records,3727492.0,POP / 팝,03:09
2023-09-24,63,Somebody,디오 (D.O.),SM Entertainment,,가요 / 블루스/포크,02:39
2023-09-24,64,별 떨어진다 (I Do),디오 (D.O.),SM Entertainment,,가요 / 발라드,02:43
2023-09-24,65,사실말야내가말야그게그러니까말이야,케이시 (Kassy),넥스타엔터테인먼트,,가요 / 발라드,02:55
2023-09-24,66,해요 (2022),#안녕,일팔 프로젝트,,가요 / 발라드,03:58
2023-09-24,67,모래 알갱이,임영웅,물고기뮤직,5430728.0,가요 / 발라드,03:40
2023-09-24,68,민들레 (single ver.),우효 (OOHYO),문화인,,가요 / 인디,04:13
2023-09-24,69,Like Crazy,지민,BIGHIT MUSIC,,가요 / 댄스,03:32
2023-09-24,70,Cupid,FIFTY FIFTY,ATTRAKT,,가요 / 댄스,02:54
2023-09-24,71,미친 사랑의 노래,"김연지, DK",방구석 캐스팅,,가요 / 발라드,03:44
2023-09-24,72,Candy,NCT DREAM,SM Entertainment,2295308.0,가요 / 댄스,03:37
2023-09-24,73,ASAP,NewJeans,ADOR,11655019.0,가요 / 댄스,02:14
2023-09-24,74,Dynamite,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,03:19
2023-09-24,75,우리들의 블루스,임영웅,물고기뮤직,5430728.0,가요 / 발라드,03:27
2023-09-24,76,잠깐 시간 될까,이무진,"BIGPLANETMADE, SWING ENTERTAINMENT",1681594.0,가요 / 락,03:48
2023-09-24,77,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment,2211380.0,OST / 드라마,03:31
2023-09-24,78,That`s Hilarious,Charlie Puth,Atlantic Records UK,3727492.0,POP / 팝,02:27
2023-09-24,79,사랑의 바보,제이세라 (J-Cera),"투플원 엔터테인먼트, 제나두엔터테인먼트",,가요 / 발라드,03:54
2023-09-24,80,사람 Pt.2 (feat. 아이유),Agust D,BIGHIT MUSIC,,가요 / R&B/소울,03:34
2023-09-24,81,Monologue,테이 (Tei),방구석 캐스팅,,가요 / 발라드,04:22
2023-09-24,82,사랑..그게 뭔데,지아 (Zia),니즈뮤직,1717017.0,가요 / 발라드,03:46
2023-09-24,83,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이",5430728.0,가요 / 트로트,04:03
2023-09-24,84,TOMBOY,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 락,02:54
2023-09-24,85,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),WM엔터테인먼트,1818769.0,가요 / 전체,03:21
2023-09-24,86,그라데이션,10cm,매직스트로베리사운드,3657222.0,가요 / 인디,03:21
