Title,Artist
흩어지지 않게,엠씨더맥스 (M.C the MAX)
Graduation,NCT DREAM
SNEAKERS,ITZY (있지)
Made You Look,Meghan Trainor
Unholy,"Sam Smith, Kim Petras"
Feel My Rhythm,레드벨벳(Red Velvet)
봄날,방탄소년단
Butter,방탄소년단
무지개,임영웅
strawberry moon,아이유 (IU)
첫 눈,EXO
London Boy,임영웅
신호등,이무진
All I Want For Christmas Is You,Mariah Carey
Madness,문빈&산하
스티커 사진,21학번
INVU,태연 (TAEYEON)
DEJAVU (Feat. 박재범) (Prod. by Slom),이영지
Santa Tell Me,Ariana Grande
Off My Face,Justin Bieber
아버지,임영웅
Polaroid,임영웅
POP!,나연 (TWICE)
Next Level,aespa
내 손을 잡아,아이유 (IU)
사랑한다고 말해줘,탑현
한 페이지가 될 수 있게,DAY6
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
Dangerously,Charlie Puth
Permission to Dance,방탄소년단
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
Celebrity,아이유 (IU)
WE (Feat. 박재범) (Prod. by Slom),"이영지, 토이고 (toigo), 제이켠 (J`Kyun), 잠비노 (Jambino), XINSAYNE"
미리 메리 크리스마스 (Feat. 천둥),아이유 (IU)
Fuckin′ New Year,백예린
첫눈처럼 너에게 가겠다,에일리 (Ailee)
고백연습,경서
I`m Sorry,에일리 (Ailee)
Yet To Come,방탄소년단
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단"
SMILEY (Feat. BIBI),YENA(최예나)
희재,성시경
문 (Moon),NCT DREAM
Girls,aespa
오르골 (Life Is Still Going On),NCT DREAM
The Drum,Alan Walker
밤편지,아이유 (IU)
인생찬가,임영웅
A bientot,임영웅
Tangerine Love (Favorite),NCT DREAM
DICE,NMIXX
으리으리 (Feat. 호미들),NSW yoon
발자국 (Walk With You),NCT DREAM
늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
Cheshire,ITZY (있지)
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)"
추억때문에,유림
손이 참 곱던 그대,임영웅
Hurt,NewJeans
사랑해 진짜,임영웅
"HUG (Feat. Zion.T, 원슈타인) (Prod. by Slom)",이영지
Big world,백예린
너를 생각해,주시크 (Joosiq)
LAW (Prod. Czaer),"윤미래, 비비(BIBI)"
이루리,우주소녀
STEP,카라 (KARA)
I`m Not The Only One,Sam Smith
비싼 숙취,이승윤
연애편지,임영웅
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)"
Talk that Talk,TWICE
GANADARA (Feat. 아이유),박재범
어른,Sondia
"Flick (Feat. BE`O (비오), 김하온 (HAON)) (Prod. GroovyRoom)",노윤하
Blueming,아이유 (IU)
보금자리,임영웅
Birthday,레드벨벳(Red Velvet)
2002,Anne-Marie
GHOST TOWN,Benson Boone
라일락,아이유 (IU)
Last Christmas,Ariana Grande
